Date,id,sales,asins,brand,categories,name,Price
2016-11-23,3,4474.904289781234,B07FPW4LSV,Holika Holika,Skin Care, [Holika Holika] Spot Band Patch V Zone Patch 8g ,2050.0
2016-11-30,3,4618.692453692311,B07FPW4LSV,Holika Holika,Skin Care, [Holika Holika] Spot Band Patch V Zone Patch 8g ,2050.0
2016-12-07,3,4941.13715285728,B07FPW4LSV,Holika Holika,Skin Care, [Holika Holika] Spot Band Patch V Zone Patch 8g ,2050.0
2016-12-14,3,5458.129707921758,B07FPW4LSV,Holika Holika,Skin Care, [Holika Holika] Spot Band Patch V Zone Patch 8g ,2050.0
2016-12-21,3,6063.000226380117,B07FPW4LSV,Holika Holika,Skin Care, [Holika Holika] Spot Band Patch V Zone Patch 8g ,2050.0
2016-12-28,3,6523.33677578649,B07FPW4LSV,Holika Holika,Skin Care, [Holika Holika] Spot Band Patch V Zone Patch 8g ,2050.0
2017-01-04,3,6638.667412191312,B07FPW4LSV,Holika Holika,Skin Care, [Holika Holika] Spot Band Patch V Zone Patch 8g ,2050.0
2017-01-11,3,6429.997258806446,B07FPW4LSV,Holika Holika,Skin Care, [Holika Holika] Spot Band Patch V Zone Patch 8g ,2050.0
2017-01-18,3,6165.354650928712,B07FPW4LSV,Holika Holika,Skin Care, [Holika Holika] Spot Band Patch V Zone Patch 8g ,2050.0
2017-01-25,3,6167.1907172610645,B07FPW4LSV,Holika Holika,Skin Care, [Holika Holika] Spot Band Patch V Zone Patch 8g ,2050.0
2017-02-01,3,6554.851705840819,B07FPW4LSV,Holika Holika,Skin Care, [Holika Holika] Spot Band Patch V Zone Patch 8g ,2050.0
2017-02-08,3,7140.220742065669,B07FPW4LSV,Holika Holika,Skin Care, [Holika Holika] Spot Band Patch V Zone Patch 8g ,2050.0
2017-02-15,3,7562.350705850463,B07FPW4LSV,Holika Holika,Skin Care, [Holika Holika] Spot Band Patch V Zone Patch 8g ,2050.0
2016-11-09,4,1753.9574445201738,B00OOFIDHY,Innisfree,Skin Care, [Innisfree] Soybean Energy Essence Light 150ml ,3089.0
2016-11-16,4,1919.111253682704,B00OOFIDHY,Innisfree,Skin Care, [Innisfree] Soybean Energy Essence Light 150ml ,3089.0
2016-11-23,4,2287.716523493477,B00OOFIDHY,Innisfree,Skin Care, [Innisfree] Soybean Energy Essence Light 150ml ,3089.0
2016-11-30,4,2914.958222432064,B00OOFIDHY,Innisfree,Skin Care, [Innisfree] Soybean Energy Essence Light 150ml ,3089.0
2016-12-07,4,3588.884299575409,B00OOFIDHY,Innisfree,Skin Care, [Innisfree] Soybean Energy Essence Light 150ml ,3089.0
2016-12-14,4,3906.8786962796858,B00OOFIDHY,Innisfree,Skin Care, [Innisfree] Soybean Energy Essence Light 150ml ,3089.0
2016-12-21,4,3557.9208743549175,B00OOFIDHY,Innisfree,Skin Care, [Innisfree] Soybean Energy Essence Light 150ml ,3089.0
2016-12-28,4,2609.7681720288942,B00OOFIDHY,Innisfree,Skin Care, [Innisfree] Soybean Energy Essence Light 150ml ,3089.0
